ResourceID,Administrative Subdivision Name,Administrative Subdivision Type,Copyright Description,Copyright Type,Date of Publication,Description,Description Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Information Carrier,Information Carrier Format Type,Information Resource Creation From Date,Information Resource Creation To Date,Information Resource Creator,Information Resource Type,Keyword,Language_Type,Place Description,Spatial Coordinates Geometry,Temporal Coverage Timespan,Title,Title Type
0881bc1d-7d27-4047-a2ed-0f08ceffe094,,,,,,,,,Processing ID,REPT-12,,/files/uploadedfiles/SurveyLA_CPWWHWH.pdf,PDF,,,Architectural Resources Group,Document/Text,,,,,,SurveyLA: Canoga Park-Winnetka-Woodland Hills-West Hills Historic Resources Survey Report,Primary
0906b7c2-3b1d-4c73-92f3-31d510b912b9,,,,,,Tomb entrance.,Primary,,Original File Name,Egy.QV.t66.A. South.Jan09.1. CEDAE.JPG,,/files/uploadedfiles/QV66_image_1.jpg,JPEG,,,,Still Image,,,,,,QV66_image_1,Primary
0a528d19-b0a4-4d34-815c-97f0c6e102f4,,,,,,Though much painted plaster survives throughout the tomb there are many small losses found within the painting. The above photograph shows surviving painting in rear chamber (G).,Primary,,Original File Name,EGY.QV.t52.34.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV52_image_5.jpg,JPEG,,,,Still Image,,,,,,QV52_image_5,Primary
0b6c0f7c-9f63-4334-9240-53e3f9b62030,,,,,,The area of heat alteration of the pigments corresponds to the line of blackening. The lower parts of walls may have been protected from fire by sand and debris.,Primary,,Original File Name,EGY.QV.2006DEC.t51.57.LWong.d.jpg,,/files/uploadedfiles/QV51_image_6.jpg,JPEG,,,,Still Image,,,,,,QV51_image_6,Primary
0d3aac42-af76-4937-b16f-56e7f52d02e8,,,,,,,,,Original File Name,QV 32.CEDAE labels.jpg,,/files/uploadedfiles/QV32_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV32_TMP_drawing_1,Primary
0ebee297-6eff-42e5-b64b-7a858eeae495,,,,,,,,,Original File Name,QV 11+12.CEDAE labels.jpg,,/files/uploadedfiles/QV12_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV12_TMP_drawing_1,Primary
0fdcbfd3-b883-4505-bd70-3aee1282e8d4,,,,,,Chamber (E) after treatment with plaster infill; the sarcophagus fragments still remain in situ. Little painting survives on the walls of the burial chamber.,Primary,,Original File Name,EGY.QV.2006DEC.t51.83.LWong.d.jpg,,/files/uploadedfiles/QV51_image_4.jpg,JPEG,,,,Still Image,,,,,,QV51_image_4,Primary
1016eef1-64fb-4736-b7fc-602ce0b4e4f8,,,,,,Salt crystallizing on surface of rock in chamber [C].,Primary,,Original File Name,Egy.QV.t59.08.08Jan.JBell.d.jpg,,/files/uploadedfiles/QV59_image_2.jpg,JPEG,,,,Still Image,,,,,,QV59_image_2,Primary
10bf0ae2-bec0-444e-ae88-31ccfc89613d,,,,,,Shaft entrance with masonry surround.,Primary,,Original File Name,EGY.QV.t23.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV23_image_1.jpg,JPEG,,,,Still Image,,,,,,QV23_image_1,Primary
11913608-5f9d-4a0e-a564-ce609e16ccf4,,,,,,,,,SurveyLA ID,572e1960-108d-4620-9825-0800bf4fe92e.JPG,,/files/uploadedfiles/572e1960-108d-4620-9825-0800bf4fe92e.JPG,JPEG,,2013-02-28,Historic Resources Group,Still Image,,,,,,Luise Rainer Residence - PHOTO,Primary
123f04b2-df36-4b68-9b4e-0e8b67e58a00,,,,,,Many treatment drips are visible throughout tomb.,Primary,,Original File Name,EGY.QV.t55.26.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV55_image_5.jpg,JPEG,,,,Still Image,,,,,,QV55_image_5,Primary
125839a2-98b3-4d59-bb56-57ff41a844b8,,,,,,,,,Original File Name,QV 62.CEDAE labels.jpg,,/files/uploadedfiles/QV62_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV62_TMP_drawing_1,Primary
136394da-983b-411a-8a4d-9a6b161ccde8,,,,,,Heat alteration of pigments is most visible in burial chamber (G) where yellow earth pigments have altered to red. The lower parts of pillars and walls escaped fire damage. Note also white crystalline material from bat urine at top edge of painted plaster.,Primary,,Original File Name,EGY.QV.t74.18.'06Mar.JBell.d.jpg,,/files/uploadedfiles/QV74_image_3.jpg,JPEG,,,,Still Image,,,,,,QV74_image_3,Primary
139a9d45-74f6-44f5-bb45-31b3684b5efc,,,,,,Original Schiaparelli plaque in situ.,Primary,,Original File Name,EGY.QV.2006DEC.t42.03.LWong.d.jpg,,/files/uploadedfiles/QV42_image_2.jpg,JPEG,,,,Still Image,,,,,,QV42_image_2,Primary
13efd250-c7f3-4ead-a376-bb7f853d17a3,,,,,,Wall painting depicting Queen Nerfertari in chamber (E),Primary,,Original File Name,Egy.QV.t66.E. South.2b.Jan09.98. CEDAE.JPG,,/files/uploadedfiles/QV66_image_6.jpg,JPEG,,,,Still Image,,,,,,QV66_image_6,Primary
14d4c54b-f02b-4e69-92d5-a0eff9fd2c41,,,,,,,,,SurveyLA ID,b375b0f4-2b9a-41b3-9057-081797984c4f.jpg,,/files/uploadedfiles/b375b0f4-2b9a-41b3-9057-081797984c4f.jpg,JPEG,,,,Still Image,,,,,,Sturges House - PHOTO,Primary
14e8b388-52cb-45ba-8db9-2120efd9d54c,,,,,,,,,SurveyLA ID,2fd3a481-51c1-4dc8-b468-d88b64af2ec4.JPG,,/files/uploadedfiles/2fd3a481-51c1-4dc8-b468-d88b64af2ec4.JPG,JPEG,,2011-06-08,Architectural Resources Group,Still Image,,,,,,THOMAS J WASHBURN RESIDENCE - PHOTO,Primary
1511dd40-7323-4012-9d09-001dae71fab0,,,,,,,,,SurveyLA ID,47715be2-60e1-447f-9146-254fd53430eb.JPG,,/files/uploadedfiles/47715be2-60e1-447f-9146-254fd53430eb.JPG,JPEG,,2012-08-13,Historic Resources Group,Still Image,,,,,,Platform House Historic District - PHOTO,Primary
16c24d88-e4e8-46b7-9fdd-20680e0b0459,,,,,,,,,Processing ID,AACS_1953,,/files/uploadedfiles/CaseStudy_1953.pdf,,,,,,,,,,,Arts and Architecture Magazine: Case Study House 1953,Primary
17396401-d064-4a40-91cc-6e243d513a6c,,,,,,"Detail of corner of chamber (E) showing concentration of deterioration and loss of painted plaster, possibly due to bat activity.",Primary,,Original File Name,EGY.QV.t52.23.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV52_image_2.jpg,JPEG,,,,Still Image,,,,,,QV52_image_2,Primary
17597cd9-d797-4320-bb3d-65ec486db6ad,,,,,,,,,Original File Name,QV 63.CEDAE labels.jpg,,/files/uploadedfiles/QV63_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV63_TMP_drawing_1,Primary
18f5bf1e-055c-4176-81bc-d2a6f208b8ba,,,,,,,,,SurveyLA ID,e3ce0e04-9951-47f4-a591-a6f755768412.jpg,,/files/uploadedfiles/e3ce0e04-9951-47f4-a591-a6f755768412.jpg,JPEG,,,,Still Image,,,,,,28th Street Y.M.C.A. Building - PHOTO,Primary
1954bdc7-1084-468a-aef5-c71494e4741d,,,,,,View of collapsed QV34.,Primary,,Original File Name,EGY.QV.t34.12.07Feb.JBell.d.jpg,,/files/uploadedfiles/QV34_image_1.jpg,JPEG,,,,Still Image,,,,,,QV34_image_1,Primary
19d9f447-ba34-40dd-9333-6586f87dead1,,,,,,,,,Processing ID,REPT-21,,/files/uploadedfiles/SurveyLA_SLA.pdf,PDF,,,Architectural Resources Group,Document/Text,,,,,,SurveyLA: South Los Angeles Historic Resources Survey Report,Primary
19db2815-bc01-4e00-b543-6f5125cd8705,,,,,,Schiaparelli plaque at entrance to tomb.,Primary,,Original File Name,EGY.QV.2006DEC.t51.04.LWong.d.jpg,,/files/uploadedfiles/QV51_image_2.jpg,JPEG,,,,Still Image,,,,,,QV51_image_2,Primary
1a473474-eba3-4e11-940e-76f164d83864,,,,,,Deep losses in the rock required substantial infill material (plaster and rock shards) to pack out the wall to provide a flat surface for the paintings.,Primary,,Original File Name,EGY.QV.t33.18.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV33_image_4.jpg,JPEG,,,,Still Image,,,,,,QV33_image_4,Primary
1c8cbd18-13b7-4be8-a321-d42c6d90e748,,,,,,QV 9 shaft opening with masonry surround.,Primary,,Original File Name,EGY.QV.t09.02.07Feb.DMyers.d.JPG,,/files/uploadedfiles/QV09_image_1.jpg,JPEG,,,,Still Image,,,,,,QV09_image_1,Primary
1da015df-c50f-4384-9fc4-391cae757dc7,,,,,,Overview of chamber (B) showing distinct bands of rock type and break into QV 11 in the rear,Primary,,Original File Name,Egy.QV.t12.05.08Jan.JBell.d.jpg,,/files/uploadedfiles/QV12_image_3.jpg,JPEG,,,,Still Image,,,,,,QV12_image_3,Primary
1dab1139-76f6-4e9e-b861-456f971d9a4b,,,,,,,,,Original File Name,QV 66 sheet1.CEDAE labels.jpg,,/files/uploadedfiles/QV66_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV66_TMP_drawing_1,Primary
1dc6d2bf-0a09-4995-9658-ff3db3e16e89,,,,,,,,,Original File Name,QV 47+48.CEDAE labels.jpg,,/files/uploadedfiles/QV47_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV47_TMP_drawing_1,Primary
1dd306f0-1c4c-42c3-8009-29d83bf84c99,,,,,,,,,SurveyLA ID,58489762-0851-4ca9-9798-c737e0224027.JPG,,/files/uploadedfiles/58489762-0851-4ca9-9798-c737e0224027.JPG,JPEG,,2012-08-13,Historic Resources Group,Still Image,,,,,,Platform House Historic District - PHOTO,Primary
1e2680c7-6030-4b7f-8b54-93c625df4d02,,,,,,Thick layer of  debris fan conglomerate on top of marl rock layer with an area of loss on east side in the conglomerate layer.,Primary,,Original File Name,EGY.QV.t56.02.05Jan.DMyers.jpg,,/files/uploadedfiles/QV56_image_2.jpg,JPEG,,,,Still Image,,,,,,QV56_image_2,Primary
20410f02-8caf-4311-abef-642005e4256e,,,,,,,,,Original File Name,QV 19+20.CEDAE labels.jpg,,/files/uploadedfiles/QV20_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV20_TMP_drawing_1,Primary
206f5e5f-8b77-4fbd-aa86-d70005a79f7a,,,,,,,,,Original File Name,QV 33 sheet2.CEDAE labels.jpg,,/files/uploadedfiles/QV33_TMP_drawing_2.jpg,JPEG,,,,Still Image,,,,,,QV33_TMP_drawing_2,Primary
20e1ff7c-3899-4645-bcc5-f1c61f1e347a,,,,,,Shaft entrance with boulder surround,Primary,,Original File Name,EGY.QV.t94.02.07Feb.DMyers.d.jpg,,/files/uploadedfiles/QV94_image_1.jpg,JPEG,,,,Still Image,,,,,,QV94_image_1,Primary
21ab1062-2581-4eb4-b6fd-91bca97c7c04,,,,,,"Chamber interior, looking towards the entrance and shaft",Primary,,Original File Name,EGY_QV_t08_B_08Jan_10_DMyers_d.JPG,,/files/uploadedfiles/QV08_image_2.jpg,JPEG,,,,Still Image,,,,,,QV08_image_2,Primary
242d0e9d-205d-4d37-a855-847c4348d813,,,,,,Chamber with rough hewn walls and floor,Primary,,Original File Name,Egy.QV.t72.03.08Jan.JBell.d.jpg,,/files/uploadedfiles/QV72_image_3.jpg,JPEG,,,,Still Image,,,,,,QV72_image_3,Primary
249b4153-fbcf-4e5f-83d8-497a0ecce6c0,,,,,,,,,Processing ID,ARK-00001P,,/files/uploadedfiles/Cornfield.jpg,,,,,,,,,,,Site of 19th Century River Station in Los Angeles State Historic Park - PHOTO,Primary
24ce5173-a122-4f81-9e4c-5dea70ed99e7,,,,,,,,,SurveyLA ID,d7180603-49f9-4785-8bb6-af03946be789.JPG,,/files/uploadedfiles/d7180603-49f9-4785-8bb6-af03946be789.JPG,JPEG,,2012-08-13,Historic Resources Group,Still Image,,,,,,Platform House Historic District - PHOTO,Primary
24ec055c-a78f-40cd-94cf-d6de8bceb4e5,,,,,,,,,SurveyLA ID,ee1ab2b8-e706-4722-af81-8ad277bc680b.JPG,,/files/uploadedfiles/ee1ab2b8-e706-4722-af81-8ad277bc680b.JPG,JPEG,,2013-05-15,Historic Resources Group,Still Image,,,,,,Soffer House - PHOTO,Primary
252044a0-0212-477a-9293-7718759a9306,,,,,,,,,Original File Name,QV 71 sheet1.CEDAE labels.jpg,,/files/uploadedfiles/QV71_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV71_TMP_drawing_1,Primary
25d2b2de-16cd-4499-8faa-ff9733735241,,,,,,,,,SurveyLA ID,1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,,/files/uploadedfiles/1d0a9e21-a2a3-4c25-8dc8-e038d4ce802a.JPG,JPEG,,2011-06-08,Architectural Resources Group,Still Image,,,,,,2241 S HOBART BLVD - PHOTO,Primary
26f54bfb-4274-4fd7-bf6c-684ecc1f9eb3,,,,,,Structural supports in QV34.,Primary,,Original File Name,EGY.QV.t34.22.09Feb.JBell.d.jpg,,/files/uploadedfiles/QV34_image_3.jpg,JPEG,,,,Still Image,,,,,,QV34_image_3,Primary
2738aacd-9a5c-4e99-8cdb-c6aea19358a9,,,,,,View down shaft with evident marl and shaley marl interface (indicated by arrow),Primary,,Original File Name,EGY.QV.t32.2.05Jan.DMyers.jpg,,/files/uploadedfiles/QV32_image_2.jpg,JPEG,,,,Still Image,,,,,,QV32_image_2,Primary
2748bf05-9bce-4d5e-a0c9-afbd8de6da98,,,,,,,,,Original File Name,QV 44 sheet1.CEDAE labels.jpg,,/files/uploadedfiles/QV44_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV44_TMP_drawing_1,Primary
27d70e9d-d4d6-4fbb-9e60-0387bc50c23c,,,,,,Tomb ramp has an arched cover and surround,Primary,,Original File Name,EGY.QV.t58.02_09Dec.TFushiya.d.JPG,,/files/uploadedfiles/QV58_image_2.jpg,JPEG,,,,Still Image,,,,,,QV58_image_2,Primary
291b41b7-08a1-4fbb-ad8d-a23420f84712,,,,,,Tomb ramp and entrance with friable rock overhang and historic mudbrick above,Primary,,Original File Name,EGY.QV.t60.20.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV60_image_1.jpg,JPEG,,,,Still Image,,,,,,QV60_image_1,Primary
29d3f587-f102-4f48-93bb-755972c196ea,,,,,,,,,Original File Name,QV 80 sheet3.CEDAE labels.jpg,,/files/uploadedfiles/QV80_TMP_drawing_3.jpg,JPEG,,,,Still Image,,,,,,QV80_TMP_drawing_3,Primary
2a2b7e58-bec0-4471-a853-cf1f319647e3,,,,,,"View of the marl slab above shaley marl in the first chamber, as seen from the connection with tomb QV 81.",Primary,,Original File Name,EGY_QV_t03_B_08Jan_04_DMyers_d.JPG,,/files/uploadedfiles/QV03_image_3.jpg,JPEG,,,,Still Image,,,,,,QV03_image_3,Primary
2a79640a-8b69-4fba-91cd-a1189c0a9368,,,,,,View of unfinished QV 86,Primary,,Original File Name,EGY.QV.t86.01_09Dec.TFushiya.d.JPG,,/files/uploadedfiles/QV86_image_1.jpg,JPEG,,,,Still Image,,,,,,QV86_image_1,Primary
2abcf11b-3004-494d-8862-4e6a99f0a750,,,,,,View of interior of QV 21.,Primary,,Original File Name,EGY_QV_t21_2009Dec_DMyers02.JPG,,/files/uploadedfiles/QV21_image_2.jpg,JPEG,,,,Still Image,,,,,,QV21_image_2,Primary
2b3e4a04-281b-4d98-bd57-0c41551927bc,,,,,,"Shaft entrance, adjacent to footpath",Primary,,Original File Name,EGY.QV.t29.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV29_image_1.jpg,JPEG,,,,Still Image,,,,,,QV29_image_1,Primary
2b632840-0902-4a40-8a0e-fb70f2c5e351,,,,,,Reconstructed entrance and stepped ramp.,Primary,,Original File Name,Egy.QV.t80.01.08Feb.RWust.d.jpg,,/files/uploadedfiles/QV80_image_2.jpg,JPEG,,,,Still Image,,,,,,QV80_image_2,Primary
2b753603-d746-435f-9c2d-4e05e4ea6580,,,,,,View of shaft and chamber entrance below.,Primary,,Original File Name,EGY.QV.t37.2.05Jan.DMyers.jpg,,/files/uploadedfiles/QV37_image_1.jpg,JPEG,,,,Still Image,,,,,,QV37_image_1,Primary
2bd44a56-2f72-4e8f-ba1c-58d92b773121,,,,,,Traces of Coptic overplastering of the Pharaonic painting in antechamber (C) is visible in image at right. Note also loss of the paint layer and white background possibly caused during attempts at removal of the mud plaster.  Pink repair plaster and gray edging repairs are also visible.,Primary,,Original File Name,EGY.QV.2006DEC.t60.31.LWong.d.jpg,,/files/uploadedfiles/QV60_image_7.jpg,JPEG,,,,Still Image,,,,,,QV60_image_8,Primary
2dc0bd6f-582a-41c0-b82c-6c61ffaf1382,,,,,,"QV 3 opening, seen from visitor path.",Primary,,Original File Name,EGY.QV.t03.02.07Feb.DMyers.d.JPG,,/files/uploadedfiles/QV03_image_1.jpg,JPEG,,,,Still Image,,,,,,QV03_image_1,Primary
2dda633f-6fe2-4d75-b27f-ff9c8faf3112,,,,,,,,,SurveyLA ID,a0167e70-f8f7-4e56-8967-11eade443ef7.JPG,,/files/uploadedfiles/a0167e70-f8f7-4e56-8967-11eade443ef7.JPG,JPEG,,2011-06-08,Architectural Resources Group,Still Image,,,,,,W.ESLEY W BECKETT HOUSE - PHOTO,Primary
2e8fbf6e-b59e-4034-aef0-9e307c9a9d4c,,,,,,,,,Processing ID,HCM-149P,,/files/uploadedfiles/EnnisBrownHouse.jpg,,,,,,,,,,,Ennis - Brown House - PHOTO,Primary
2eab5da4-7bd2-4c0c-aea3-b80528c4ba56,,,,,,,,,SurveyLA ID,4a98cba2-0712-4102-a64e-cf75adcd501c.jpg,,/files/uploadedfiles/4a98cba2-0712-4102-a64e-cf75adcd501c.jpg,JPEG,,,,Still Image,,,,,,Jardinette Apartments - PHOTO,Primary
2f433ff4-57ea-4597-b5ba-26d00e559530,,,,,,Blackening from fire is worse higher up the walls and on the ceiling of corridor (C).  Lower parts of the walls have escaped the damage.,Primary,,Original File Name,EGY.QV.2007FEB.t42.12.LWong.d.jpg,,/files/uploadedfiles/QV42_image_5.jpg,JPEG,,,,Still Image,,,,,,QV42_image_5,Primary
2f5843b4-c3e9-4acf-8637-05e34935eaf6,,,,,,,,,Original File Name,QV 05+06.CEDAE labels.jpg,,/files/uploadedfiles/QV06_TMP_drawing_1.jpg,JPEG,,,,Still Image,,,,,,QV06_TMP_drawing_1,Primary
2ffb61d5-bf69-45ab-9e82-87ae744b6e5d,,,,,,,,,SurveyLA ID,f0485ecc-4898-471e-b27e-0cb7f5a6d7b8.JPG,,/files/uploadedfiles/f0485ecc-4898-471e-b27e-0cb7f5a6d7b8.JPG,JPEG,,2012-08-13,Historic Resources Group,Still Image,,,,,,Platform House Historic District - PHOTO,Primary
302a2dd4-0a53-45fd-a1e3-d98ccfa111f3,,,,,,Wall painting depicting mummiform union of Ra and Osiris being protected by the goddess Nephthys on the left and Isis on the right in chamber (G).,Primary,,Original File Name,"Egy.QV.t66.G. West.3,4a.Jan09. 117.CEDAE.JPG",,/files/uploadedfiles/QV66_image_9.jpg,JPEG,,,,Still Image,,,,,,QV66_image_9,Primary
30362d75-fba1-427a-bf30-5e3d54a70d22,,,,,,,,,Original File Name,QV 43 sheet2.CEDAE labels.jpg,,/files/uploadedfiles/QV43_TMP_drawing_2.jpg,JPEG,,,,Still Image,,,,,,QV43_TMP_drawing_2,Primary
30602dfa-0e92-431a-92b4-4aeb44b1e8f8,,,,,,"Shaft entrance, cut into marl with colluvial ground cover",Primary,,Original File Name,EGY.QV.t39.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV39_image_1.jpg,JPEG,,,,Still Image,,,,,,QV39_image_1,Primary
306b59a9-e0ed-4fa3-b481-1730060891c6,,,,,,East side of chamber (G) showing pillar II and fragmentary survival of painting.,Primary,,Original File Name,EGY.QV.2006DEC.t74.68.LWong.d.jpg,,/files/uploadedfiles/QV74_image_4.jpg,JPEG,,,,Still Image,,,,,,QV74_image_4,Primary
3126dee9-5b77-42fc-8df1-b3bb98f42092,,,,,,,,,Original File Name,QV 66 sheet4.CEDAE labels.jpg,,/files/uploadedfiles/QV66_TMP_drawing_4.jpg,JPEG,,,,Still Image,,,,,,QV66_TMP_drawing_4,Primary
31343891-9675-43bd-96a2-19da9f9b908b,,,,,,"Lower chamber (N) of side chamber (E). The ceiling of the chamber, once vaulted, is now partially collapsed.",Primary,,Original File Name,EGY.QV.2006DEC.t71.53.LWong.d.jpg,,/files/uploadedfiles/QV71_image_5.jpg,JPEG,,,,Still Image,,,,,,QV71_image_5,Primary
32535ded-4c84-4b50-b6ba-25abc185f046,,,,,,Ramp (A) leading down to entrance doorway (B) with metal grill door.,Primary,,Original File Name,EGY.QV.2006DEC.t68.02.LWong.d.jpg,,/files/uploadedfiles/QV68_image_1.jpg,JPEG,,,,Still Image,,,,,,QV68_image_1,Primary
32b27802-4c8a-417e-90eb-1a28a45b3d6c,,,,,,,,,SurveyLA ID,515dd154-ee8b-40f0-aba6-a2fc2a0c3a40.JPG,,/files/uploadedfiles/515dd154-ee8b-40f0-aba6-a2fc2a0c3a40.JPG,JPEG,,2011-06-08,Architectural Resources Group,Still Image,,,,,,2236 S HOBART BLVD - PHOTO,Primary
32f29512-dacf-4d3a-b196-b2026a282ef9,,,,,,Shaft entrance and surround,Primary,,Original File Name,EGY.QV.t72.01.05Jan.DMyers.jpg,,/files/uploadedfiles/QV72_image_1.jpg,JPEG,,,,Still Image,,,,,,QV72_image_1,Primary
33d6d6e6-8750-421c-b884-c045e8b60a97,,,,,,Flaking of the paint layer has led to substantial losses that exposes the underlying plaster layer.,Primary,,Original File Name,EGY.QV.t36.main chamber.S.decoration.'06Mar.JBell.d.jpg,,/files/uploadedfiles/QV36_image_6.jpg,JPEG,,,,Still Image,,,,,,QV36_image_6,Primary
343854b2-f754-4992-818f-8101d8dc3965,,,,,,Shaft as seen from above.,Primary,,Original File Name,EGY.QV.t27.1.05Jan.DMyers.jpg,,/files/uploadedfiles/QV27_image_1.jpg,JPEG,,,,Still Image,,,,,,QV27_image_1,Primary
344bdb19-b9af-4ded-8e54-bbe08fad0881,,,,,,Stepped ramp and entryway.,Primary,,Original File Name,EGY.QV.t57.01.05Jan.DMyers.jpg,,/files/uploadedfiles/QV57_image_1.jpg,JPEG,,,,Still Image,,,,,,QV57_image_1,Primary
35d773fa-6b4f-4809-a3f8-f37c5336f97d,,,,,,"Areas of blue are abraded and appear faded.  These areas have been lost over time, possibly from the cleaning of the paintings.",Primary,,Original File Name,EGY.QV.t55.27.08Feb.LWong.d.jpg,,/files/uploadedfiles/QV55_image_6.jpg,JPEG,,,,Still Image,,,,,,QV55_image_6,Primary
36567b3e-d361-4a6f-860c-8f719650b20b,,,,,,"Rear chamber (E), east wall. E. Thomas notes that the ceiling vault is the first example of this type in QV.",Primary,,Original File Name,EGY.QV.2006DEC.t40.22.LWong.d.jpg,,/files/uploadedfiles/QV40_image_4.jpg,JPEG,,,,Still Image,,,,,,QV40_image_4,Primary
36fb3cc9-665d-4f76-82b9-ee28b5fb482e,,,,,,"Tomb interior, showing signs of extensive collapse",Primary,,Original File Name,EGY.QV.t29.2.05Jan.DMyers.jpg,,/files/uploadedfiles/QV29_image_2.jpg,JPEG,,,,Still Image,,,,,,QV29_image_2,Primary
