ResourceID,Actor Type,Actor Type From Date,Actor Type To Date,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Appellation,Appellation Type,Cadastral Reference,Cultural Period,Description,Description Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Keyword,Place Address,Place Description,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type
19a76a49-8e6f-418a-ad80-ac907af6ef38,Queen (Person),,,,,,Tuy,Primary,,,,,,,,,,,,,,,,
1bb13309-1533-4a53-a15d-52b76ed72e68,Architect/Designer,,,,,,Lloyd Wright,Primary,,,"Frank Lloyd Wright, Jr. (March 30, 1890, Oak Park, Illinois GÇô May 31, 1978, Santa Monica, California), commonly known as Lloyd Wright, was an American landscape architect and architect, active primarily in Los Angeles and Southern California. His name is frequently confused with that of his more famous father, Frank Lloyd Wright. Lloyd Wright's mother was Frank Lloyd Wright's first wife, Catherine Lee 'Kitty' Tobin. He was the eldest son of the couple, and grew up in the surroundings of the 1889 Wright home and studio in Oak Park. Lloyd briefly attended the University of Wisconsin in Madison, before leaving for a job at the Boston-based landscape architecture firm of the Olmsted Brothers. Specializing in botany and horticulture, he continued to pursue the interrelation of landscape and buildings through his life. He settled in Southern California around 1911, followed by his younger brother John Lloyd Wright. The Olmsteds had sent him to assist with the landscape design of the 1915 Panama-California Exposition in San Diego with architects Irving Gill, Bertram Goodhue, and Carleton Winslow. The exposition's principal buildings and gardens still remain in Balboa Park. Landscape design led him to work with Los Angeles architect William J. Dodd and in San Diego with Irving Gill, the latter another master architect and mentor to his design career. Beginning in 1919, his father, working in Japan on the Imperial Hotel, delegated some of the responsibilities to him and architect Rudolph Schindler for designing and supervising construction of the Hollyhock House, in Hollywood, California. Wright began his independent career in 1920. Wright designed and built a number of houses in the Hollywood and Los Feliz districts of Los Angeles in the mid- to late 1920s. His first important house there was for the mother of his second wife Helen Taggart, the Taggart House, a registered Los Angeles Historic-Cultural Monument located next to the city's Griffith Park. Another significant project was the hillside house for the manager of film star Ram+¦n Novarro, and then a renovation and enlargement when Novarro himself acquired the residence. The dramatic and theatrical Mayan-inspired John Sowden House has become his most iconic structure and is usually regarded as his best work. He also designed and built his own home with a ground floor studio and second floor residence, using concrete blocks, in West Hollywood in the 1920s. His best-known project is the Wayfarers Chapel, also known as 'The Glass Church', an indoor/outdoor structure made almost entirely of glass and built in 1951 for the Swedenborgian church, overlooking the Pacific Ocean on the Palos Verdes Peninsula. The site planning and planting design express his talent and experience as a landscape architect. He had an embracing grove of Redwoods (Sequoia sempervirens) planted to achieve this. The building is listed in the National Register of Historic Places.",Primary,,,,Processing ID,ARCH-00262,,,,,,,
1bb13309-1533-4a53-a15d-52b76ed72e68,,,,,,,Frank Lloyd Wright Jr.,Alternative,,,,,,,,,,,,,,,,
1bed5411-513f-460a-8a7c-4f2bc6f9fa27,Pharaoh,,,,,,Rameses IV,Primary,,,Ramesses IV was the third pharaoh of the Twentieth Dynasty of the New Kingdom of Ancient Egypt. His name prior to assuming the crown was Amonhirkhopshef.,Primary,,,,,,,,,,,,
1d79d43f-c4eb-4149-8c4a-ef712139aa5f,Architect/Designer,,,,,,Lester S. Moore,Primary,,,,,,,,Processing ID,ARCH-00260,,,,,,,
25a5d1c7-ecb1-47da-837b-0364b1943015,Prince,,,,,,Khaemwaset,Primary,,,,,,,,,,,,,,,,
25e51afc-32de-4c35-bb85-5676335f8e5a,,,,,,,William McKinley Adams,Primary,,,,,,,,Processing ID,BLDR-00370,,,,,,,
2a484d02-bb28-436f-bca5-cf1dcf9eaa20,Prince,,,,,,Prince Baki,Primary,,,,,,,,,,,,,,,,
2c33af3e-d492-474a-af11-40162e14d70b,Princess,,,,,,Bentanat,Primary,,,,,,,,,,,,,,,,
2c33af3e-d492-474a-af11-40162e14d70b,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
2e14802d-af62-4acb-9359-0d1234da0d87,Queen (Person),,,,,,Queen Minefer,Primary,,,,,,,,,,,,,,,,
2e9aa168-eab8-4909-b925-456a27817d3a,,,,,,,J.H. Heckman,Primary,,,,,,,,Processing ID,BLDR-00274,,,,,,,
3342429c-f00e-43b8-b183-7361f909d464,,,,,,,Frederich Rindge,Primary,,,,,,,,Processing ID,OWNR-00110,,,,,,,
374e3a0f-cde7-4a3a-ad8e-9cc27c0754fc,,,,,,,Eero Saarinen,Primary,,,"Eero Saarinen, the son of influential Finnish architect Eliel Saarinen and his second wife, Louise, was born on his father's 37th birthday, August 20, 1910. They immigrated to the United States of America in 1923, when Eero was thirteen. He grew up in Bloomfield Hills, Michigan, where his father was a teacher at the Cranbrook Academy of Art and he took courses in sculpture and furniture design there. He had a close relationship with fellow students Charles and Ray Eames, and became good friends with Florence Knoll (n+¬e Schust). Beginning in September 1929, he studied sculpture at the Acad+¬mie de la Grande Chaumi+¿re in Paris, France. He then went on to study at the Yale School of Architecture, completing his studies in 1934. Subsequently, he toured Europe and North Africa for a year and returned for a year to his native Finland, after which he returned to Cranbrook to work for his father and teach at the academy. He became a naturalized citizen of the United States in 1940. Saarinen was recruited by Donal McLaughlin, an architectural school friend from his Yale days, to join the military service in the Office of Strategic Services (OSS). Saarinen was assigned to draw illustrations for bomb disassembly manuals and to provide designs for the Situation Room in the White House.Saarinen worked full-time for the OSS until 1944. After his father's death in 1950, Saarinen founded his own architect's office, 'Eero Saarinen and Associates'. Eero Saarinen died of a brain tumor in 1961 at the age of 51.",Primary,,,,Processing ID,ARCH-00683,,,,,,,
37ac2c98-2820-4849-a33b-0aeeed6c3a4b,Architect/Designer,,,,,,Dion Neutra,Primary,,,"Dion Neutra (born October 8, 1926) is a modernist / International style American architect and consultant who worked originally with his father, Richard Neutra (1892GÇô1970). Dion started training with his father at age 11.  He attended the University of Southern California, spending his junior year abroad studying at the Swiss Federal Institute of Technology architecture program in Zurich, and graduated cum laude. He became president of the Neutra company upon Richard Neutra's death in 1970.",Primary,,,,Processing ID,ARCH-00104,,,,,,,
44f48407-9cb9-421e-9626-1ed3df2cbba3,Princess,,,,,,Anonymous Princess-Queen,Primary,,,,,,,,,,,,,,,,
44f48407-9cb9-421e-9626-1ed3df2cbba3,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
456c4477-36ab-4bc8-ba12-0fe2b896be34,,,,,,,John Storer,Primary,,,,,,,,Processing ID,OWNR-00423,,,,,,,
483b8283-34e3-467c-862b-a76b1f21b6a9,,,,,,,William Weber,Primary,,,,,,,,Processing ID,OWNR-00509,,,,,,,
4b506a62-7fa8-4028-992f-a1c49d417ce7,Builder,,,,,,J.H. Bean,Primary,,,,,,,,Processing ID,BLDR-00090,,,,,,,
4b75c59c-1105-426d-aa4e-3a36a87ceb67,Archaeologist,1877-01-01,2/14/28,,,,Ernesto Schiaparelli,Primary,,,"Italian Egyptologist Ernesto Schiaparelli was head of the Italian Archaeological Mission in Egypt between 1903 and 1920, during which time he investigated numerous Egyptian sites. His most significant achievemements were in the vicinity of Thebes, in the workers' village at Deir el-Medineh and in the Valley of the Queens. For many years Schiaparelli was director of the Egyptian Museum in Turin.",Primary,,,,,,,,,,,1856-07-12,Birth Date
53fd2bbd-07b3-4cf7-ac60-a2d840e0f3d3,Prince,,,,,,Amenherkhepshef,Primary,,,,,,,,,,,,,,,,
542ce062-1366-456d-bccf-43b579a31ba7,Princess,,,,,,Anonymous Princess-Queen,Primary,,,,,,,,,,,,,,,,
542ce062-1366-456d-bccf-43b579a31ba7,,,,,,,Anonymous Princess-Queen,Primary,,,,,,,,,,,,,,,,
542ce062-1366-456d-bccf-43b579a31ba7,Queen (Person),,,,,,,,,,,,,,,,,,,,,,,
545bca68-94ca-4b99-b121-7df5dfb77435,,,,,,,John Entenza,Primary,,,,,,,,Processing ID,OWNR-00177,,,,,,,
571e3614-8ffd-45a9-9e70-bf980cd7482a,Surveying Firm,,,Primary,,,Historic Resources Group,Primary,,,,,,,,Processing ID,SURV-00005,,,"12 S Fair Oaks Ave #200, Pasadena, CA 91105",,,,
571e3614-8ffd-45a9-9e70-bf980cd7482a,,,,,,,,,,,,,,,,URL,http://www.historicla.com/,,,,,,,
595f0d72-a229-4028-8f5a-085dae3a25d3,Architect/Designer,,,,,,Richard Neutra,Primary,,,"Richard Joseph Neutra (April 8, 1892 GÇô April 16, 1970) is considered one of modernism's most important architects. Neutra was born in Vienna on April 8, 1892. He studied under Adolf Loos at the Technical University of Vienna, was influenced by Otto Wagner, and worked for a time in Germany in the studio of Erich Mendelsohn. He moved to the United States by 1923 and became a naturalized citizen in 1929. Neutra worked briefly for Frank Lloyd Wright before accepting an invitation from his close friend and university companion Rudolf Schindler to work and live communally in Schindler's Kings Road House in California. In California, he became celebrated for rigorously geometric but airy structures that symbolized a West Coast variation on the mid-century modern residence. In the early 1930s, Neutra's Los Angeles practice trained several young architects who went on to independent success, including Gregory Ain, Harwell Hamilton Harris, and Raphael Soriano. He was famous for the attention he gave to defining the real needs of his clients, regardless of the size of the project, in contrast to other architects eager to impose their artistic vision on a client. Neutra sometimes used detailed questionnaires to discover his client's needs, much to their surprise. His domestic architecture was a blend of art, landscape and practical comfort.\nNeutra died in Wuppertal, Germany, on April 16, 1970. Neutra's son Dion has kept the Silver Lake offices designed and built by his father open as 'Richard and Dion Neutra Architecture' in Los Angeles. The Neutra Office Building is itself listed on the National Register of Historic Places.\nIn 1980, Neutra's widow donated the Van der Leeuw House (VDL Research House), then valued at $207,500, to California State Polytechnic University, Pomona (Cal Poly Pomona) to be used by the university's College of Environmental Design faculty and students.\nMcCoy, Esther (1960). Five California Architects. Reinhold Publishing.  Richard and Dion Neutra Papers (Collection Number 1179). Department of Special Collections, Charles E. Young Research Library, UCLA. \nHines, Thomas (1982). Richard Neutra and the Search for Modern Architecture. Oxford University Press. ISBN 0195030281.  \nLamprecht, Barbara (2000). Richard Neutra: Complete Works. Taschen. ISBN 3822866229.  \nLamprecht, Barbara (2004). Richard Neutra, 1892GÇô1970: Survival Through Design. Taschen. ISBN 3822827738.",Primary,,,,Processing ID,ARCH-00341,,,,,,1892-04-08,Birth Date
599a2c66-63dc-433f-b936-14b9d0597541,,,,,,,Pat Hamilton,Primary,,,,,,,,Processing ID,BLDR-00322,,,,,,,
5dfbd4e9-aa04-4d3c-a93e-1ed115ba2501,,,,,,,Charles Warwick Evans,Primary,,,,,,,,Processing ID,OWNR-00046,,,,,,,
600d43e2-3fd1-4e4d-8a8d-3fddca85fc17,Prince,,,,,,Ramses-Meryamen,Primary,,,,,,,,,,,,,,,,
60a1dd6d-0ed4-40cc-8eab-420c5a3a52d8,Queen (Person),,,,,,Isis-ta-Hemdjeret,Primary,,,,,,,,,,,,,,,,
61febfde-5cb8-486b-abe7-f35c437c8710,Queen (Person),,,,,,Isis-Nofret,Primary,,,"Isis-Nofret was one of the Great Royal Wives of Pharaoh Ramesses II and was the mother of his heir, Merneptah. She was one of the most prominent of the royal wives, along with Nefertari, and was the chief queen after Nefertari's death.",Primary,,,,,,,,,,,,
652fccba-c4fe-4bd6-8111-f7b6fb978b34,Architecture/Design Firm or Partnership,,,,,,Sumner Hunt and A. Eager,Primary,,,,,,,,Processing ID,ARCH-00385,,,,,,,
67b529cf-62ae-4506-8b27-3caf756dc95c,Queen (Person),,,,,,Nefertari-Meryenmut,Alternative,,,"Nefertari-Meryenmut (Nfri-try mrt n Mwt GÇô GÇÿBeloved of MutGÇÖ) was  the first great royal wife of Rameses II. She has sometimes been connected to Ay, because an object bearing his name was found in the tomb. However, it is unlikely as she never has the title GÇÿkingGÇÖs daughterGÇÖ and it is probable that she was of non-royal origin. She has a temple dedicated to her at Abu Simbel, she appears on several reliefs at Luxor Temple and numerous statues of her have been found throughout Egypt. There is also a small temple dedicated jointly to Nefertari and Tuy on the north side of the Ramesseum. She has been identified as the mother of Amenherwenemef, Paraherwenemef and Meriatum who all died prior to the end of Rameses IIGÇÖs reign. Nefertari played an important political role and is also attested from a letter she wrote to Queen Puduhepa of the Hittite empire. She is no longer attested by year 30 of the reign of her husband but was thought to still be alive during the construction of Abu Simbel in year 24, placing the time of her death somewhere in between (Grajetzki 2005, 68).",Primary,,,,,,,,,,,,
67b529cf-62ae-4506-8b27-3caf756dc95c,,,,,,,Nefertari,Primary,,,,,,,,,,,,,,,,
6cb724bc-660e-4436-a785-6cb9bf5e89bb,,,,,,,Jose Antonio Ramirez,Primary,,,,,,,,Processing ID,ARCH-00572,,,,,,,
6e9c06fa-2a26-48ee-8450-d2549cdf81c2,,,,,,,Ray Eames,Primary,,,"Ray-Bernice Alexandra Kaiser Eames was an American artist, designer, and filmmaker. Along with her husband Charles Eames she is responsible for groundbreaking contributions in the field of architecture. furniture design, industrial design, manufacturing and the photographic arts. She was born in Sacramento, California to Alexander and Edna Burr Kaiser, and had a brother named Maurice. She spent her early childhood years with her parents in their apartment, and then moved to a bungalow outside of the town. Her parents taught her the quality of enjoyment which later led to inventions in furniture design and toys. Her parents also instilled the value of enjoyment of nature. After having lived in a number of cities during her youth and after her father's death, in 1933 she graduated from Bennett Women's College in Millbrook, New York, and moved to New York City, where she studied abstract expressionist painting with Hans Hofmann. She was a founder of the American Abstract Artists group in 1936 and displayed paintings in their first show a year later in 1937 at Riverside Museum in Manhattan. One of her paintings is in the permanent collection of The Whitney Museum of American Art. Ray lived alone in New York City until she was called home to be with her ailing mother, who passed away in 1940. In September 1940, Ben Baldwin, an architect and friend, recommended she began studies at the Cranbrook Academy of Art in Bloomfield Hills, Michigan. She learned a variety of arts, not limiting herself to abstract painting. She worked with Harry Bertoia, Eero Saarinen, Charles Eames and others on the display panels for the exhibition 'Organic Design in Home Furnishings' at Museum of Modern Art. Ray married Charles Eames in 1941. Settling in Los Angeles, California, Charles and Ray Eames began an outstanding career in design and architecture. The design process between Ray and Charles was strongly collaborative. After marriage the couple moved to California to continue their molded plywood furniture design and, in a later period, plastic. The graphic and commercial artwork can be clearly attributed to Ray, she designed twenty-six cover designs for the journal Arts & Architecture during 1942 to 1948, and a major part of the Eames furniture advertisements at Herman Miller (since 1948). In the late 1940s, Ray Eames created several textile designs, two of which, 'Crosspatch' and 'Sea Things', were produced by Schiffer Prints, a company that also produced textiles by Salvador Dal+¡ and Frank Lloyd Wright. Two of her textile patterns were distinguished with awards in a textile competition (organized by MoMa). She worked on graphics for advertising, magazine covers, posters, timelines, game boards, invitations and business cards. Original examples of Ray Eames textiles can be found in many art museum collections. The Ray Eames textiles have been re-issued by Maharam as part of their Textiles of the Twentieth Century collection. After Charles' death in 1978, the Eames Office was disbanded. Ray Eames worked on several unfinished projects (e.g. a German version of the Mathematica exhibition), was a consultant to IBM, published books, and administered the Eames archive and estate. Ray Eames died in Los Angeles in 1988, ten years to the day after Charles. They are buried next to each other in Calvary Cemetery in St. Louis.",Primary,,,,Processing ID,ARCH-00708,,,,,,1912-12-15,Birth Date
6f52a364-1d2d-4344-b5ad-4bd80e050f99,,,,,,,Mick Jagger,Primary,,,,,,,,Processing ID,SIGP-00220,,,,,,,
