ResourceID,Address Type,Administrative Subdivision Name,Administrative Subdivision Type,Ancilary Feature To Date,Ancillary Feature Cultural Period,Ancillary Feature From Date,Ancillary Feature Type,Cadastral Reference,Component Type,Condition Description,Condition Image,Condition Type,Construction Technique,Date Condition Assessed,Description,Description Type,Designation or Protection From Date,Designation or Protection To Date,Disturbance Type,End Date of Existence,End Date Type,External Identifier Type,External Source,External XRef,Geometry Qualifier,Heritage Resource Type,Heritage Resource Type Cultural Period,Heritage Resource Type From Date,Heritage Resource Type To Date,Keyword,Management Recommendation,Material,Measurement Type,Measurement Unit,Measurement Value,Modification Date,Modification Description,Modification Type,Name,Name Type,Place Address,Place Description,Recommendation Type,Reference Image,Resource Type Classification,Setting Type,Spatial Coordinates Geometry,Start Date of Existence,Start Date Type,Style,Style Cultural Period,Style From Date,Style To Date,Threat Type,Type of Designation or Protection
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,"QV 39 is nestled between chamber tombs QV 38 and QV 40. The tomb has a deep shaft and two chambers, both of which are blackened. <br>Thomas records this tomb as the westernmost shaft tomb and one of the largest with multiple chambers.  She found the tomb thoroughly blackened and filled with mummies. She further suggests that this could have been the tomb of Prince Wadjmose or another royal of the time, whose tutor was Imhotep, interred in nearby QV 46. Based on the archaeological material recovered by the Franco-Egyptian team, it appears that the tomb was reused during the Roman Period.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,QV 39,Primary,,"QV 39 is located halfway up the southwest branch of the wadi, adjacent to the main pathway and retaining wall.",,/files/uploadedfiles/QV39_image_2.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59252148235817 25.72690316972801)),-1550~/-1295~,Built Date,,,,,,
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,Alternative,,,,,,,,,,,,,,,
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV39_image_3.jpg,,,,,,,,,,,
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV39_image_4.jpg,,,,,,,,,,,
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV39_image_1.jpg,,,,,,,,,,,
0d4bc6ce-ca70-4194-b277-fc4018b5471a,,,,,,,,,,,,,,,,,,,,,,,,,,Shaft Graves (Tomb),GRAECO-ROMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ff9f835-1535-4f1e-b7d8-f91ea3142208,,,,,,,,,,,,,,,"QV 62 has two chambers, (C) and (E). The shaft of the tomb is relatively deep (6m) and its entrance has a masonry surround coated in cement plaster and has a metal grill with torn mesh. <br>E. Thomas describes this tomb as being well cut in good quality rock and in pristine condition. <br>Evidence of biological activity includes mud insect nests (at chamber entrances), and extensive bat droppings.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,Tomb of Anonymous,Alternative,,QV 62 is located on the north side of the valley between QV 61 and 63,,/files/uploadedfiles/QV62_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.5926989174366 25.72766190622648)),-1550~/-1295~,Built Date,,,,,,
0ff9f835-1535-4f1e-b7d8-f91ea3142208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV62_TMP_drawing_1.jpg,,,,,,,,,,,
0ff9f835-1535-4f1e-b7d8-f91ea3142208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV62_image_2.jpg,,,,,,,,,,,
0ff9f835-1535-4f1e-b7d8-f91ea3142208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 62,Primary,,,,,,,,,,,,,,,
1350a869-4b17-4251-adc5-4909a07c288f,,,,,,,,,,,,,,,Ramp walls (east and west) of QV 85 were cut with partial finished surface.,Primary,,,,,,,,,access point,Unfinished Tomb,20TH DYNASTY,,,,,,,,,,,,Unfinished Tomb,Alternative,,"QV 85 is located at the westernmost of the north branch, between QV 51 and 52.",,/files/uploadedfiles/QV85_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59228309633841 25.72740915601488)),-1188~/-1069~,Built Date,,,,,,
1350a869-4b17-4251-adc5-4909a07c288f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 85,Primary,,,,,,,,,,,,,,,
13fc59c7-df9c-45dd-8923-f9e96403f577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 28,Primary,,QV 28 has not been relocated since it was recorded by CNRS. It may lie under the site guard house.,,,Archaeological Site Element,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,"This corridor-style tomb is entered through ramp (A) leading into first corridor chamber (C) with two side chambers, (E) and (G). Successive corridor chamber (I) has niches (J) and (K) and leads into rear chamber (M). The ceiling of corridor (I) has a slight barrel vault, indicating its intended use as the burial chamber. <br>QV 44 lies some meters above the shaley marl beds that have resulted in rock fracturing and loss in many of the other tombs on the south side of the valley where the marl is part of a large tilted geologic block. Unlike the majority of tombs along this branch, QV 44 is cut on a roughly east-west axis, largely perpendicular to the axes of preceding tombs, except for QV 43, whose axis it shares. Worth noting is the fact that side chamber (E) underlies ramp (A) of QV 43, with approximately two meters of rock in between. <br>The walls and ceilings of this tomb are extremely regular indicating that the rock substrate is of high quality and did not require the substantial amount of infill material as seen in many of the other tombs in QV though current condition of the rock surface in many areas is hidden by widespread plaster repairs. The visible rock throughout the tomb is in relatively good condition with a large amount of extant decoration, and does not show the natural jointing deterioration from swelling pressure changes related to underlying shale. <br>Extensive sunken relief painted plaster survives throughout the tomb on walls and ceilings in excellent condition. After QV 66, this tomb has the best preserved painted decoration in the valley. Its decoration is in various stages of completion; side chamber (K) in second corridor (I) was not completely excavated while side chamber (J) was cut and plastered with a base plaster; doorway (H) is also unfinishedG+ç+¦the plaster was carved but not painted. Entrance (B) and doorway (H) are thought to have been widened at a later date to accommodate the large granite sarcophagus. The doorways were replastered and carved but were never painted. It is possible that the side chambers of the first corridor may also be unfinished as the paintings are lacking the final detailing that can be seen in corridors (C) and (I). The paintings have been extensively treated and large modern repair plasters are present throughout the tomb. <br>The tomb was discovered by E. Schiaparelli in February 1903. At the time of discovery, the tomb was littered with mummies and wooden sarcophagi dated to the late 22nd-26th dynasties of the Third Intermediate Period, a period of apparent substantial reuse. A dry masonry wall apparently sealed the entrance after these burials and, lacking evidence of Roman re-use, the entrance is assumed to have been lost and forgotten by that time. <br>The tomb was re-opened and probably pillaged during the Coptic and Arabic periods. Desert scavengers (perhaps hyenas) were noted by the Italian mission to have ravaged some of the human remains. A pit excavated in the floor of chamber (I) to receive the sarcophagus (measured 7.90m++¦ 3.10m by F. Hassanein and M. Nelson 1997) had been filled with sand since discovery. <br>C. Leblanc has noted that a small amount of floodwater entered the tomb in November 1994 (C. Leblanc, pers. comm., 2009). <br>Currently the tomb is open to visitation. Glass barriers, fluorescent lighting, and wooden flooring are installed. Previously, low wooden barriers were used. A sturdy metal door seals and locks the tomb when the site is closed. After the 1994 flood, the modern ramp retaining walls were replaced with the current walls. There is evidence of past bat activity in this tomb.",Primary,,,,,,,,,access point,Chamber Tomb,24TH DYNASTY,,,,,,,,,,,,QV 44,Primary,,QV 44 is cut into the southwest branch of the main wadi in an area of rock lying in the lower portion of Member I.,,/files/uploadedfiles/QV44_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59235244701536 25.72687654764988)),-1186~/-1154~,Built Date,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV44_TMP_drawing_1.jpg,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV44_image_2.jpg,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV44_image_4.jpg,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV44_TMP_drawing_2.jpg,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Khaemwaset,Alternative,,,,,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV44_image_3.jpg,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,Chamber Tomb,REIGN OF RAMESES III,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,Chamber Tomb,25TH DYNASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,Chamber Tomb,22ND DYNASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,Chamber Tomb,23RD DYNASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18ea13bc-0afe-47f1-aff6-4d3838fd7a07,,,,,,,,,,,,,,,,,,,,,,,,,,Chamber Tomb,26TH DYNASTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a3f026f-70e2-49c8-8189-77e9dcccbc7f,,,,,,,,,,,,,,,"QV 9 and QV 10 have one chamber each and the shaft entrances have modern built surrounds with cement plaster and no metal grill or mesh.  QV 9 has a bench cut from the rock in the rear of the chamber. <br>E. Thomas recorded that QV 7-10 are all similar in layout. The last clearing of the tombs was conducted by the Franco-Egyptian team in 1985 (QV 10) and 1986-87 (QV 9). <br>One bat was seen in QV 9 by the assessment team, and bat urine and droppings were observed in areas of the ceiling of QV 10.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,Tomb of Anonymous,Alternative,,"QV 9 and QV 10 are on the south side of the main wadi, between the paved path and the higher footpath to the south.",,/files/uploadedfiles/QV10_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59362734527414 25.72765422788735)),-1550~/-1295~,Built Date,,,,,,
1a3f026f-70e2-49c8-8189-77e9dcccbc7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 10,Primary,,,,,,,,,,,,,,,
1a3f026f-70e2-49c8-8189-77e9dcccbc7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV10_TMP_drawing_1.jpg,,,,,,,,,,,
1a3f026f-70e2-49c8-8189-77e9dcccbc7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV10_image_3.jpg,,,,,,,,,,,
1a3f026f-70e2-49c8-8189-77e9dcccbc7f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV10_image_2.jpg,,,,,,,,,,,
1c628b46-dc9f-4b28-bae6-771b3cccc6b0,,,,,,,,,,,,,,,"QV 9 and QV 10 have one chamber each and the shaft entrances have modern built surrounds with cement plaster and no metal grill or mesh.  QV 9 has a bench cut from the rock in the rear of the chamber. <br>E. Thomas recorded that QV 7-10 are all similar in layout. The last clearing of the tombs was conducted by the Franco-Egyptian team in 1985 (QV 10) and 1986-87 (QV 9). <br>One bat was seen in QV 9 by the assessment team, and bat urine and droppings were observed in areas of the ceiling of QV 10.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),REIGN OF THUTMOSIS I,,,,,,,,,,,,Tomb of Anonymous,Alternative,,"QV 9 and QV 10 are on the south side of the main wadi, between the paved path and the higher footpath to the south.",,/files/uploadedfiles/QV09_image_2.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59368584449349 25.7276630886574)),-1504~/-1492~,Built Date,,,,,,
1c628b46-dc9f-4b28-bae6-771b3cccc6b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV09_image_1.jpg,,,,,,,,,,,
1c628b46-dc9f-4b28-bae6-771b3cccc6b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 09,Primary,,,,,,,,,,,,,,,
1c628b46-dc9f-4b28-bae6-771b3cccc6b0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV09_TMP_drawing_1.jpg,,,,,,,,,,,
1fca1dd4-34da-4fe6-85c5-24d5422490ca,,,,,,,,,,,,,,,"QV 89, 90 and 91 may have been first explored by Daressy in 1901, at which point they were already open. While his description of the tomb locations is imprecise, it is clear that he entered at least one shaft tomb at the head of the Valley of the Three Pits and discovered archaeological material dating stylistically to the 25th or 26th Dynasty. The Turin Museum mission later described all three tombs.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,QV 89,Primary,,"QV 89, 90 and 91 are located further north than the tombs QV A-L in the Valley of the Three Pits.",,/files/uploadedfiles/QV89_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59820590997892 25.73090287067838)),-1550~/-1295~,Built Date,,,,,,
1fca1dd4-34da-4fe6-85c5-24d5422490ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,Alternative,,,,,,,,,,,,,,,
1fe1057f-b955-4f7b-a8d6-aa047f90cb3b,,,,,,,,,,,,,,,"A slightly descending ramp (A) leads to entryway (B) of QV 45 and an unfinished corridor (C) oriented east-west, all cut into relatively high quality marl. Just in front of the entrance, the ramp has a rock-cut ceiling, and the ceiling and side walls are partially coated in plaster applied over a layer of compact materials with limestone shard  inclusions. <br>The tomb has been known to an international community of scholars since the time of R. Hay of Linplum (1826) and noted later by R. Wilkinson (1828). The entrance may have been obscured following Wilkinson's visit, as F. Ballerini notes the rediscovery of the tomb (1903-05). The plan of the tomb suggests the construction began in the 20th  Dynasty (Leblanc 1989, 239)., and E. Thomas (1966) associated it with Satefmira, a queen of Rameses III. <br>Since the late 1980s, a large amount of debris was removed from the front area and both sides of the ramp, and the Franco-Egyptian team excavated the area in front of the tomb in 1990-1991.",Primary,,,,,,,,,access point,Unfinished Tomb,REIGN OF RAMESES III,,,,,,,,,,,,Tomb of Unknown,Alternative,,"QV 45 is located at the west end of the south branch of the main wadi, below and to the north of QV44.",,/files/uploadedfiles/QV45_TMP_drawing_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59233472473132 25.72696962912819)),-1186~/-1154~,Built Date,,,,,,
1fe1057f-b955-4f7b-a8d6-aa047f90cb3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV45_image_1.jpg,,,,,,,,,,,
1fe1057f-b955-4f7b-a8d6-aa047f90cb3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV45_image_2.jpg,,,,,,,,,,,
1fe1057f-b955-4f7b-a8d6-aa047f90cb3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 45,Primary,,,,,,,,,,,,,,,
2090473e-a272-47be-b168-26dfe377ce1f,,,,,,,,,,,,,,,"Rock is cut short toward west. A shallow pit in floor. Construction was stopped because of poor rock quality in the area (Leblanc 1989, 239).",Primary,,,,,,,,,access point,Unfinished Tomb,20TH DYNASTY,,,,,,,,,,,,Unfinished Tomb,Alternative,,"QV 86 is located at the northwest of the north branch, northwest of QV 55 and just south of the ancient dam.",,/files/uploadedfiles/QV86_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59183200786406 25.72772861864224)),-1188~/-1069~,Built Date,,,,,,
2090473e-a272-47be-b168-26dfe377ce1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 86,Primary,,,,,,,,,,,,,,,
2629207c-9583-4106-9096-581acce72c42,,,,,,,,,,,,,,,"Unlike most 18th dynasty tombs, QV 11 has a ramp with steps. The entrance has a large modern masonry surround on three sides, such that the ramp remains accessible. QV 11 has two pits  dug into the shaley marl floor of Chamber B. <br>The shaft tomb was recorded by E. Thomas as the 'first of the large shafts and large rooms' (1966, p. 187). She mentions that QV 11 is quite rough and that if there was an original  connection between the QV 11 and QV 12, the doorway would have been 'enlarged from natural causes' (ibid.). Thomas also mentions an 'excavation' in the rear of QV 11, but it is unclear if this refers to one of the two pits in the tomb later explored by the Franco-Egyptian team in 1985-6.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,QV 11,Primary,,"QV 11 lies on the south side of the wadi along the main visitor path, between QV 10 and QV 12 which it adjoins.",,/files/uploadedfiles/QV11_TMP_drawing_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59354947849706 25.72765227466446)),-1550~/-1295~,Built Date,,,,,,
2629207c-9583-4106-9096-581acce72c42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV11_image_1.jpg,,,,,,,,,,,
2629207c-9583-4106-9096-581acce72c42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,Alternative,,,,,,,,,,,,,,,
282641dd-a6b7-4686-ad96-adb1e12064a2,,,,,,,,,,,,,,,"QV 5 and 6 have shallow shafts and are partially filled with debris. <br>E. Thomas recorded that QV 3, 5, and 6 were all interconnected, though no evidence of this can be seen today. She also noted ceiling rock fall in QV 5 and the absence of any objects in both tombs.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,Tomb of Anonymous,Alternative,,"QV 5 and 6 are adjacent tombs located on the south side of the main wadi, a few meters from the edge of the paved path.",,/files/uploadedfiles/QV05_image_1.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59392582878686 25.72771756375351)),-1550~/-1295~,Built Date,,,,,,
282641dd-a6b7-4686-ad96-adb1e12064a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QV 05,Primary,,,,,,,,,,,,,,,
282641dd-a6b7-4686-ad96-adb1e12064a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV05_image_2.jpg,,,,,,,,,,,
282641dd-a6b7-4686-ad96-adb1e12064a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV05_TMP_drawing_1.jpg,,,,,,,,,,,
2b52e6c3-6a61-4857-a61a-9d82061f62a0,,,,,,,,,,,,,,,"The entrance to has no built surround or any other enclosure. The rock surrounding and within the tomb is fractured. <br>E. Thomas notes that QV 13 is the first of the 'tandem' tombs, characterized by the layout of two consecutive chambers, the rear often larger than the first. She notes that the tomb, though more complex in layout, is 'small and rough' and impacted by the poor quality of the rock from which it was cut (1966, p. 187). The tomb was last cleared by the Franco-Egyptian team in 1984-85.",Primary,,,,,,,,,access point,Shaft Graves (Tomb),18TH DYNASTY,,,,,,,,,,,,QV 13,Primary,,"QV 13 is located on the south side of the wadi, adjacent to the secondary footpath to the south of the main visitor pathway.",,/files/uploadedfiles/QV13_image_3.jpg,Archaeological Site Element,,GEOMETRYCOLLECTION (POINT (32.59364743057394 25.72752459948307)),-1550~/-1295~,Built Date,,,,,,
2b52e6c3-6a61-4857-a61a-9d82061f62a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tomb of Anonymous,Alternative,,,,,,,,,,,,,,,
2b52e6c3-6a61-4857-a61a-9d82061f62a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV13_image_2.jpg,,,,,,,,,,,
2b52e6c3-6a61-4857-a61a-9d82061f62a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV13_image_1.jpg,,,,,,,,,,,
2b52e6c3-6a61-4857-a61a-9d82061f62a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/uploadedfiles/QV13_TMP_drawing_1.jpg,,,,,,,,,,,
